article_number	structural_index	entity_type	concept	subject	action	object	legal_force	full_text
제2조제6호나목2	[]	DEFINITION	대통령령으로 정하는 자				DEFINITIONAL	제2조제6호나목2)에서 “대통령령으로 정하는 자”란 다음 각 호의 어느 하나에 해당하는 자 를 말한다. 1. 혼자서 또는 다른 주주와의 합의ㆍ계약 등에 따라 대표이사 또는 이사의 과반수를 선임한 주주 2. 다음 각 목의 구분에 따른 주주 가. 금융회사가 「자본시장과 금융투자업에 관한 법률」
제8조제1항	[8, 1, 0, 0]	REGULATION	주주	금융투자업자	겸영하지 아니한다	다른 금융투자업	MANDATORY	제8조제1항에 따른 금융투자업자(겸영금융투자업자는 제 외하며 이하 “금융투자업자”라 한다)인 경우: 다음의 구분에 따른 주주 1) 금융투자업자가 「자본시장과 금융투자업에 관한 법률」에 따른 투자자문업, 투자일임업, 집합투자업, 집합투자 증권에 한정된 투자매매업ㆍ투자중개업 또는 온라인소액투자중개업 외의 다른 금융투자업을 겸영하지 아니하는 경우: 임원(「상법」
제401조의2제1항	[401, 2, 1]	DEFINITION	자				DEFINITIONAL	제401조의2제1항 각 호의 자를 포함한다. 이하 이 호에서 같다)인 주주로서 의결권 있는 발행주식 총수의 100분의 5 이상을 소유하는 사람 2) 금융투자업자가 「자본시장과 금융투자업에 관한 법률」에 따른 투자자문업, 투자일임업, 집합투자업, 집합투자 증권에 한정된 투자매매업ㆍ투자중개업 또는 온라인소액투자중개업 외의 다른 금융투자업을 영위하는 경우: 임원인 주주로서 의결권 있는 발행주식 총수의 100분의 1 이상을 소유하는 사람 나. 금융회사가 금융투자업자가 아닌 경우: 금융회사(금융지주회사인 경우 그 금융지주회사의 「금융지주회사법」
제2조제1항제2호 및 제3호	[None, None, 2, 2]	DEFINITION	주주	주주	행사한다	지배적인 영향력	DEFINITIONAL	제2조제1항제2호 및 제3호에 따른 자회사 및 손자회사를 포함한다)의 경영전략ㆍ조직변경 등 주요 의사결정 이나 업무집행에 지배적인 영향력을 행사한다고 인정되는 자로서 금융위원회가 정하여 고시하는 주주
제5조	[]	DEFINITION	금융관련법령				DEFINITIONAL	제5조(금융관련법령) 법
제2조제7호	[]	DEFINITION	금융관련법령				DEFINITIONAL	제2조제7호에서 “대통령령으로 정하는 금융 관계 법령”이란 법, 이 영 및 다음 각 호의 법령(이 하 “금융관련법령”이라 한다)을 말한다. <개정 2016. 8. 31., 2018. 10. 30., 2019. 3. 26., 2019. 6. 25., 2020. 3. 31., 2020. 8. 25., 2021. 3. 23., 2022. 2. 17., 2022. 8. 23., 2023. 12. 5., 2024. 6. 18.> 1. “가상자산 이용자 보호 등에 관한 법률” 1의2. “개인금융채권의 관리 및 개인금융채무자의 보호에 관한 법률” 2. “공인회계사법” 2의2. “공적자금관리 특별법” 2의3. “공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률” 2의4. “국민연금법”
제124조	[]							제124조 및
제128조제3항제4호	[]	CONCEPT	법령 목록					제128조제3항제4호로 한정한다) 3. 「근로자퇴직급여 보장법」 3의2. 「금융거래지표의 관리에 관한 법률」 3의3. 「금융복합기업집단의 감독에 관한 법률」 4. 「금융산업의 구조개선에 관한 법률」 4의2. 「금융소비자 보호에 관한 법률」 법제처 3 국가법령정보센터 금융회사의 지배구조에 관한 법률 시행령 5. 「금융실명거래 및 비밀보장에 관한 법률」 6. 「금융위원회의 설치 등에 관한 법률」 7. 「금융지주회사법」 7의2. 「금융혁신지원 특별법」 7의3. 「기업구조조정 촉진법」 7의4. 「기업구조조정투자회사법」 8. 「한국자산관리공사 설립 등에 관한 법률」 9. 「기술보증기금법」 10. 「농림수산식품투자조합 결성 및 운용에 관한 법률」 10의2. 「농림수산업자 신용보증법」 11. 「농업협동조합법」 12. 「담보부사채신탁법」 13. 「대부업 등의 등록 및 금융이용자 보호에 관한 법률」 14. 「문화산업진흥 기본법」 15. 「벤처투자 촉진에 관한 법률」 15의2. 「보험사기방지 특별법」 16. 「보험업법」 17. 「감정평가 및 감정평가사에 관한 법률」 18. 「부동산투자회사법」 19. 「사회기반시설에 대한 민간투자법」 20. 「산업발전법」 21. 「상호저축은행법」 22. 「새마을금고법」 22의2. 「서민의 금융생활 지원에 관한 법률」 23. 「선박투자회사법」 24. 「소재ㆍ부품ㆍ장비산업 경쟁력 강화 및 공급망 안정화를 위한 특별조치법」 25. 「수산업협동조합법」 26. 「신용보증기금법」 27. 「신용정보의 이용 및 보호에 관한 법률」 28. 「신용협동조합법」 29. 「여신전문금융업법」 30. 「예금자보호법」 30의2. 「온라인투자연계금융업 및 이용자 보호에 관한 법률」 31. 「외국인투자 촉진법」 32. 「외국환거래법」 33. 「유사수신행위의 규제에 관한 법률」 34. 「은행법」 34의2. 「이중상환청구권부 채권 발행에 관한 법률」 34의3. 「인터넷전문은행 설립 및 운영에 관한 특례법」 35. 「자본시장과 금융투자업에 관한 법률」 36. 「자산유동화에 관한 법률」 37. 「전자금융거래법」 37의2. 「주식ㆍ사채 등의 전자등록에 관한 법률」 법제처 4 국가법령정보센터 금융회사의 지배구조에 관한 법률 시행령 38. 「주식회사 등의 외부감사에 관한 법률」 39. 「주택법」 40. 「중소기업은행법」 41. 삭제<2022. 8. 23.> 42. 「채권의 공정한 추심에 관한 법률」 43. 「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 44. 「한국산업은행법」 45. 「한국수출입은행법」 46. 「한국은행법」 47. 「한국주택금융공사법」 48. 「한국투자공사법」 49. 「해외자원개발 사업법」
제6조	[]		법					제6조(적용 범위) ① 법
제3조제1항제2호	[]	DEFINITION	대통령령으로 정하는 자				DEFINITIONAL	제3조제1항제2호에서 “대통령령으로 정하는 자”란 다음 각 호의 어느 하나에 해당하는 자를 말 한다. 1. 「한국수출입은행법」에 따른 한국수출입은행 2. 「자본시장과 금융투자업에 관한 법률」에 따른 증권금융회사 3. 「자본시장과 금융투자업에 관한 법률」에 따른 자금중개회사 4. 「외국환거래법」에 따른 외국환중개회사 5. 「한국주택금융공사법」에 따른 한국주택금융공사 6. 「신용협동조합법」
제2조제1호	[]	DEFINITION	신용협동조합	신용협동조합		농업협동조합법	DEFINITIONAL	제2조제1호의 신용협동조합 7. 「농업협동조합법」
제2조제1호	[]	DEFINITION	신용사업을 영위하는 조합	조합	영위	신용사업	DEFINITIONAL	제2조제1호의 조합 중 신용사업을 영위하는 조합 8. 「수산업협동조합법」
제2조제4호	[]	DEFINITION	신용사업을 영위하는 조합				DEFINITIONAL	제2조제4호의 조합 중 신용사업을 영위하는 조합 9. 「새마을금고법」에 따른 새마을금고 10. 「우체국예금ㆍ보험에 관한 법률」에 따른 체신관서 ② 법
제3조제2항	[None, None, 3, 2]	DEFINITION	대통령령으로 정하는 사람	대통령령으로 정하는 사람	집행	업무	DEFINITIONAL	제3조제2항에서 “대통령령으로 정하는 사람”이란 명예회장ㆍ회장ㆍ부회장ㆍ사장ㆍ부사장ㆍ대표ㆍ부대표ㆍ 전무ㆍ상무ㆍ이사 등 업무를 집행할 권한이 있는 것으로 인정될 만한 명칭을 사용하여 같은 항에 따른 국내지점에 서 업무를 집행하는 사람을 말한다. ③ 법
제3조제3항	[]	DEFINITION	대통령령으로 정하는 금융회사				DEFINITIONAL	제3조제3항 각 호 외의 부분에서 “대통령령으로 정하는 금융회사”란 다음 각 호의 어느 하나에 해당하는 자를 말한다. 다만, 해당 금융회사가 주권상장법인(「자본시장과 금융투자업에 관한 법률」
제9조제15항제3호	[]	REGULATION	자산총액	자산총액이 2조원 이상인 자	제외한다		MANDATORY	제9조제15항제3호에 따른 주 권상장법인을 말한다. 이하 같다)으로서 최근 사업연도 말 현재 자산총액이 2조원 이상인 자는 제외한다.<개정 2017. 9. 5., 2017. 10. 17.> 1. 최근 사업연도 말 현재 자산총액이 7천억원 미만인 「상호저축은행법」에 따른 상호저축은행(이하 “상호저축은행 ”이라 한다) 2. 최근 사업연도 말 현재 자산총액이 5조원 미만인 금융투자업자 또는 「자본시장과 금융투자업에 관한 법률」에 따른 종합금융회사(이하 “종합금융회사”라 한다). 다만, 최근 사업연도 말 현재 그 금융투자업자가 운용하는 「자본 시장과 금융투자업에 관한 법률」
제9조제20항	[]	DEFINITION	집합투자재산				DEFINITIONAL	제9조제20항에 따른 집합투자재산(이하 “집합투자재산”이라 한다), 같은 법
제 85조제5호	[None, None, 85, 5]	DEFINITION	투자일임재산				DEFINITIONAL	제 85조제5호에 따른 투자일임재산(이하 “투자일임재산”이라 한다) 및 신탁재산(「자본시장과 금융투자업에 관한 법 률」
제3조제1항제2호	[3, 1, 2]	REGULATION	자산총액 기준	금융기관	제외	자산총액	MANDATORY	제3조제1항제2호에 따른 관리형신탁의 재산은 제외한다. 이하 같다)의 전체 합계액이 20조원 이상인 경우는 제외한다. 3. 최근 사업연도 말 현재 자산총액이 5조원 미만인 「보험업법」에 따른 보험회사(이하 “보험회사”라 한다) 4. 최근 사업연도 말 현재 자산총액이 5조원 미만인 「여신전문금융업법」에 따른 여신전문금융회사(이하 “여신전문 금융회사”라 한다) 법제처 5 국가법령정보센터 금융회사의 지배구조에 관한 법률 시행령 5. 그 밖에 자산규모, 영위하는 금융업무 등을 고려하여 금융위원회가 정하여 고시하는 자 제2장 임원
제7조	[]	DEFINITION	임원의 자격요건				DEFINITIONAL	제7조(임원의 자격요건) ① 법
제5조제1항제6호	[None, None, 5, 6]	DEFINITION	대통령령으로 정하는 사람		말한다	사람	DEFINITIONAL	제5조제1항제6호 각 목 외의 부분에서 “대통령령으로 정하는 사람”이란 해당 조치의 원 인이 되는 사유가 발생한 당시의 임직원으로서 다음 각 호의 어느 하나에 해당하는 사람을 말한다. 1. 감사 또는 법
제19조	[]	DEFINITION	감사위원				DEFINITIONAL	제19조에 따른 감사위원회 위원(이하 “감사위원”이라 한다) 2. 법
제5조제1항제6호	[5, 1, 6]	REGULATION	위법·부당한 행위	임원	받다	조치	MANDATORY	제5조제1항제6호가목 또는 다목에 해당하는 조치의 원인이 되는 사유의 발생과 관련하여 위법ㆍ부당한 행위 로 금융위원회 또는 「금융위원회의 설치 등에 관한 법률」에 따라 설립된 금융감독원의 원장(이하 “금융감독원장 ”이라 한다)으로부터 주의ㆍ경고ㆍ문책ㆍ직무정지ㆍ해임요구, 그 밖에 이에 준하는 조치를 받은 임원(업무집행책 임자는 제외한다. 이하 이 조에서 같다) 3. 법
제5조제1항제6호나목	[]	DEFINITION	위법ㆍ부당한 행위	임원	받은	직무정지ㆍ해임요구	DEFINITIONAL	제5조제1항제6호나목에 해당하는 조치의 원인이 되는 사유의 발생과 관련하여 위법ㆍ부당한 행위로 금융위 원회 또는 금융감독원장으로부터 직무정지ㆍ해임요구, 그 밖에 이에 준하는 조치를 받은 임원 4.
제5조제1항제6호	[]	REGULATION	제재 대상자	직원	받다	조치	DEFINITIONAL	제5조제1항제6호 각 목에 해당하는 조치의 원인이 되는 사유의 발생과 관련하여 위법ㆍ부당한 행위로 금융위 원회 또는 금융감독원장으로부터 직무정지요구 또는 정직요구 이상에 해당하는 조치를 받은 직원(업무집행책임 자를 포함한다. 이하 이 조에서 같다) 5. 제2호부터 제4호까지의 제재 대상자로서 그 제재를 받기 전에 퇴임하거나 퇴직한 사람 ② 법
제5조제1항제7호	[None, None, 5, 7]	DEFINITION	대통령령으로 정하는 기간				DEFINITIONAL	제5조제1항제7호에서 “대통령령으로 정하는 기간”이란 다음 각 호의 구분에 따른 기간을 말한다. 1. 임원에 대한 제재조치의 종류별로 다음 각 목에서 정하는 기간 가. 해임(해임요구 또는 해임권고를 포함한다): 해임일(해임요구 또는 해임권고의 경우에는 해임요구일 또는 해임 권고일을 말한다)부터 5년 나. 직무정지(직무정지의 요구를 포함한다) 또는 업무집행정지: 직무정지 종료일(직무정지 요구의 경우에는 직무 정지 요구일을 말한다) 또는 업무집행정지 종료일부터 4년 다. 문책경고: 문책경고일부터 3년 2. 직원에 대한 제재조치의 종류별로 다음 각 목에서 정하는 기간 가. 면직요구: 면직요구일부터 5년 나. 정직요구: 정직요구일부터 4년 다. 감봉요구: 감봉요구일부터 3년 3. 재임 또는 재직 당시 금융관계법령에 따라 그 소속기관 또는 금융위원회ㆍ금융감독원장 외의 감독ㆍ검사기관으 로부터 제1호 또는 제2호의 제재조치에 준하는 조치를 받은 사실이 있는 경우 제1호 또는 제2호에서 정하는 기간 4. 퇴임하거나 퇴직한 임직원이 재임 또는 재직 중이었더라면 제1호부터 제3호까지의 조치를 받았을 것으로 인정되 는 경우 그 받았을 것으로 인정되는 조치의 내용을 통보받은 날부터 제1호부터 제3호까지에서 정하는 기간 ③ 법
제5조제1항제8호	[None, None, 5, 8]	DEFINITION	대통령령으로 정하는 사람				DEFINITIONAL	제5조제1항제8호에서 “대통령령으로 정하는 사람”이란 다음 각 호의 구분에 따른 사람을 말한다.<개정 2017. 9. 5.> 1. 해당 금융회사가 은행인 경우: 해당 은행, 해당 은행의 자회사등(「은행법」
제37조제2항	[]	DEFINITION	자회사등	자회사등	말한다	은행의 자회사등	DEFINITIONAL	제37조제2항 각 호 외의 부분 단서에 따른 자회사등을 말한다. 이하 “은행의 자회사등”이라 한다), 해당 은행의 자은행(「은행법」
제37조제5항	[None, None, 37, 5]	DEFINITION	자은행	자은행	말한다	은행의 자은행	DEFINITIONAL	제37조제5항에 따른 자은행을 말한다. 이하 “은행의 자은행”이라 한다), 해당 은행을 자회사로 하는 은행지주회사 또는 그 은행지주회사의 자회사등(「금융지주회사법」
제4조제1항제2호	[None, None, 4, 1]	DEFINITION	자회사등				DEFINITIONAL	제4조제1항제2호에 따른 자회사등을 말한다. 이하 “은행지주회사의 자회사등 ”이라 한다)과 여신거래(대출, 지급보증 및 자금지원 성격의 유가증권의 매입, 그 밖에 금융거래상의 신용위험이 따르는 금융회사의 직접적ㆍ간접적 거래를 말한다. 이하 같다)가 있는 기업과 특수관계에 있는 등 해당 은행의 자 산운용과 관련하여 특정 거래기업 등의 이익을 대변할 우려가 있는 사람 2. 해당 금융회사가 금융지주회사인 경우: 해당 금융지주회사 또는 해당 금융지주회사의 자회사등(「금융지주회사법 」
제4조제1항제2호	[]	DEFINITION	자회사등				DEFINITIONAL	제4조제1항제2호에 따른 자회사등을 말한다. 이하 “금융지주회사의 자회사등”이라 한다)과 여신거래가 있는 기 업과 특수관계에 있는 등 해당 금융지주회사 또는 해당 금융지주회사의 자회사등의 자산운용과 관련하여 특정 법제처 6 국가법령정보센터 금융회사의 지배구조에 관한 법률 시행령 거래기업 등의 이익을 대변할 우려가 있는 사람 3. 해당 금융회사가 은행 또는 금융지주회사가 아닌 금융회사인 경우: 해당 금융회사와 여신거래규모가 금융위원회 가 정하여 고시하는 기준 이상인 기업과 특수관계가 있는 사람으로서 해당 금융회사의 자산운용과 관련하여 특 정 거래기업 등의 이익을 대변할 우려가 있는 사람 ④ 법
제5조제2항	[]	DEFINITION	대통령령으로 정하는 경우				DEFINITIONAL	제5조제2항 단서에서 “대통령령으로 정하는 경우”란 직무정지, 업무집행정지 또는 정직요구(재임 또는 재직 중이었더라면 조치를 받았을 것으로 통보를 받은 경우를 포함한다) 이하의 제재를 받은 경우를 말한다.
제8조	[]	REGULATION	사외이사					제8조(사외이사의 자격요건) ① 법
제6조제1항제6호	[6, 1, 6]	DEFINITION	법인				DEFINITIONAL	제6조제1항제6호에서 “대통령령으로 정하는 중요한 거래관계가 있거나 사업상 경쟁 관계 또는 협력관계에 있는 법인”이란 다음 각 호의 어느 하나에 해당하는 법인을 말한다. <개정 2018. 10. 30., 2021. 1. 5.> 1. 최근 3개 사업연도 중 해당 금융회사와의 거래실적 합계액이 자산총액(해당 금융회사의 최근 사업연도 말 현재 재무상태표 상의 자산총액을 말한다) 또는 영업수익(해당 금융회사의 최근 사업연도 말 현재 손익계산서 상의 영업수익을 말한다)의 100분의 10 이상인 법인 2. 최근 사업연도 중에 해당 금융회사와 매출총액(해당 금융회사와 거래계약을 체결한 법인의 최근 사업연도 말 현 재 손익계산서 상의 매출총액을 말한다)의 100분의 10 이상의 금액에 상당하는 단일 거래계약을 체결한 법인 3. 최근 사업연도 중에 해당 금융회사가 금전, 유가증권, 그 밖의 증권 또는 증서를 대여하거나 차입한 금액과 담보 제공 등 채무보증을 한 금액의 합계액이 다음 각 목의 구분에 따른 자본 또는 자본금의 100분의 10 이상인 법인 가. 해당 금융회사가 은행, 보험회사 또는 금융지주회사인 경우: 해당 법인의 최근 사업연도 말 현재 재무상태표 상의 자본(해당 금융회사가 보험회사인 경우에는 해당 법인의 자본금을 말한다) 나. 해당 금융회사가 금융투자업자, 상호저축은행, 여신전문금융회사인 경우: 해당 금융회사의 최근 사업연도 말 현재 재무상태표 상의 자본금(해당 금융회사가 금융투자자신인 경우에는 해당 금융회사의 자본을 말한다) 4. 해당 금융회사의 정기주주총회일(「보험업법」
제2조제7호	[]	REGULATION	자본금	금융회사	출자	법인	MANDATORY	제2조제7호에 따른 상호회사인 보험회사의 경우에는 정기사원총회 일을 말한다) 현재 해당 금융회사가 자본금(해당 금융회사가 출자한 법인의 자본금을 말한다)의 100분의 5 이상 을 출자한 법인 5. 해당 금융회사와 기술제휴계약을 체결하고 있는 법인 6. 해당 금융회사의 회계감사인(「주식회사 등의 외부감사에 관한 법률」
제2조제7호	[]	DEFINITION	감사인	감사인	말한다		DEFINITIONAL	제2조제7호에 따른 감사인을 말한다. 이하 같다)으로 선임된 회계법인 7. 해당 금융회사와 주된 법률자문, 경영자문 등의 자문계약을 체결하고 있는 법인 ② 제1항에도 불구하고 다음 각 호의 어느 하나에 해당하는 법인 및 이에 준하는 외국법인은 제외한다. 1. 「한국은행법」에 따른 한국은행 2. 「자본시장과 금융투자업에 관한 법률 시행령」
제10조제2항	[10, 2]	DEFINITION	자본시장과 금융투자업에 관한 법률 시행령	자	해당	각 호	DEFINITIONAL	제10조제2항 각 호의 어느 하나에 해당하는 자 3. 「자본시장과 금융투자업에 관한 법률 시행령」
제10조	[]	DEFINITION	자				DEFINITIONAL	제10조제3항제1호부터 제13호까지의 어느 하나에 해당하는 자 ③ 법
제6조제1항제8호	[6, 1, 8, None]	DEFINITION	대통령령으로 정하는 사람				DEFINITIONAL	제6조제1항제8호에서 “대통령령으로 정하는 사람”이란 다음 각 호의 어느 하나에 해당하는 사람을 말한다. <개정 2018. 10. 30., 2020. 8. 4.> 1. 해당 금융회사의 최대주주와 제1항 각 호의 어느 하나에 해당하는 관계에 있는 법인(제2항 각 호의 어느 하나에 해당하는 법인은 제외한다)의 상근 임직원 또는 최근 2년 이내에 상근 임직원이었던 사람. 이 경우 제1항 각 호의 “해당 금융회사”는 “해당 금융회사의 최대주주”로 본다. 2. 해당 금융회사가 은행인 경우 가. 최대주주가 아닌 대주주의 특수관계인 나. 다음의 어느 하나와 제1항 각 호의 어느 하나의 관계에 있는 법인(제2항 각 호의 어느 하나에 해당하는 법인 은 제외한다)의 상근 임직원 또는 최근 2년 이내에 상근 임직원이었던 사람 1) 해당 은행, 그 은행의 자회사등 및 자은행 2) 해당 은행을 자회사로 하는 은행지주회사 및 그 은행지주회사의 자회사등 법제처 7 국가법령정보센터 금융회사의 지배구조에 관한 법률 시행령 다. 나목 1) 또는 2)의 상근 임직원 또는 최근 2년 이내에 상근 임직원이었던 사람의 배우자, 직계존속 및 직계비속 3. 해당 금융회사가 금융지주회사인 경우 해당 금융지주회사의 자회사등과 제1항 각 호의 어느 하나에 해당하는 관계에 있는 법인(제2항 각 호의 어느 하나에 해당하는 법인은 제외한다)의 상근 임직원 또는 최근 2년 이내에 상근 임직원이었던 사람 4. 해당 금융회사 외의 둘 이상의 다른 주권상장법인의 사외이사, 비상임이사 또는 비상임감사로 재임 중인 사람. 다 만, 해당 금융회사가 주권상장법인, 은행 또는 은행지주회사인 경우에는 다음 각 호의 구분에 따른 사람을 말한다 . 가. 해당 금융회사가 주권상장법인인 경우: 해당 금융회사 외의 둘 이상의 다른 회사의 이사ㆍ집행임원ㆍ감사로 재임 중인 사람 나. 해당 금융회사가 은행인 경우: 해당 은행 외의 다른 회사(해당 은행의 자회사등, 해당 은행의 자은행, 해당 은행을 자회사로 하는 은행지주회사 및 그 은행지주회사의 자회사등은 제외한다)의 사외이사, 비상임이사 또는 비상임감사로 재임 중인 사람 다. 해당 금융회사가 은행지주회사인 경우: 해당 은행지주회사 외의 다른 회사(해당 은행지주회사의 자회사등은 제외한다)의 사외이사, 비상임이사 또는 비상임감사로 재임 중인 사람 5. 다음 각 목의 어느 하나에 해당하는 사람 가. 해당 금융회사에 대한 회계감사인으로 선임된 감사반(「주식회사 등의 외부감사에 관한 법률」
제2조제7호나 목	[]	DEFINITION	감사반	감사반	말한다		DEFINITIONAL	제2조제7호나 목에 따른 감사반을 말한다) 또는 주된 법률자문ㆍ경영자문 등의 자문계약을 체결하고 있는 법률사무소(「변호 사법」
제21조제1항	[]	DEFINITION	법률사무소				DEFINITIONAL	제21조제1항에 따른 법률사무소를 말한다)ㆍ법무조합(「변호사법」
제58조의18	[None, None, 58, 18]	DEFINITION	외국법자문법률사무소	외국법자문법률사무소	말한	법무조합	DEFINITIONAL	제58조의18에 따른 법무조합을 말한 다)ㆍ외국법자문법률사무소(「외국법자문사법」
제2조제4호	[]	DEFINITION	외국법자문법률사무소				DEFINITIONAL	제2조제4호에 따른 외국법자문법률사무소를 말한다)에 소속되 어 있거나 최근 2년 이내에 소속되었던 공인회계사, 세무사 또는 변호사 나. 그 밖에 해당 금융회사에 대한 회계감사 또는 세무대리를 하거나 해당 금융회사와 주된 법률자문, 경영자문 등의 자문계약을 체결하고 있는 공인회계사, 세무사, 변호사 또는 그 밖의 자문용역을 제공하고 있는 사람 6. 해당 금융회사의 지분증권(「자본시장과 금융투자업에 관한 법률」
제4조제4항	[]	DEFINITION	지분증권	지분증권	말한다		DEFINITIONAL	제4조제4항에 따른 지분증권을 말한다. 이하 같다) 총수의 100분의 1 이상에 해당하는 지분증권을 보유(「자본시장과 금융투자업에 관한 법률」
제133조제3항	[0, 0, 133, 3]	DEFINITION	보유	사람	거래	금융회사	DEFINITIONAL	제133조제3항 본문에 따른 보유를 말한다)하고 있는 사람 7. 해당 금융회사와의 거래(「약관의 규제에 관한 법률」
제2조제1호	[]	REGULATION	정형화된 거래 제외	거래	제외한다		MANDATORY	제2조제1호에 따른 약관에 따라 이루어지는 정형화된 거래는 제외한다) 잔액이 1억원 이상인 사람 8. 「신용정보의 이용 및 보호에 관한 법률」
제25조제2항제1호	[]	DEFINITION	등록 대상자	등록 대상자	등록	종합신용정보집중기관	DEFINITIONAL	제25조제2항제1호에 따른 종합신용정보집중기관에 신용질서를 어지럽 힌 사실이 있는 자 또는 약정한 기일 내에 채무를 변제하지 아니한 자로 등록되어 있는 자(기업이나 법인인 경우 에는 해당 기업이나 법인의 임직원을 말한다) 9. 「채무자 회생 및 파산에 관한 법률」에 따라 회생 절차 또는 파산 절차가 진행 중인 기업의 임직원 10. 「기업구조조정 촉진법」에 따른 부실징후기업의 임직원 ④ 법
제6조제3항	[]	DEFINITION	대통령령으로 정하는 사람				DEFINITIONAL	제6조제3항에서 “대통령령으로 정하는 사람”이란 금융, 경영, 경제, 법률, 회계, 소비자보호 또는 정보기술 등 금융회사의 금융업 영위와 관련된 분야에서 연구ㆍ조사 또는 근무한 경력이 있는 사람으로서 사외이사 직무 수행 에 필요한 전문지식이나 실무경험이 풍부하다고 해당 금융회사가 판단하는 사람을 말한다.
제8조의2	[]	REGULATION	임원 자격요건 보고					제8조의2(임원의 자격요건 적합 여부 보고 등) 법
제7조제1항제3호	[]	DEFINITION	대통령령으로 정하는 경우	대통령령으로 정하는 경우	정하는	법	DEFINITIONAL	제7조제1항제3호에서 “대통령령으로 정하는 경우”란 법
제30조의3제 1항	[]	DEFINITION	책무 변경/추가		변경	임원의 책무	DEFINITIONAL	제30조의3제 1항에 따른 책무구조도에서 정하는 임원의 책무를 변경하거나 추가하려는 경우를 말한다. [본조신설 2024. 6. 18.]
제9조(주요업무집행책임자의 임면 등) 법	[]							제9조(주요업무집행책임자의 임면 등) 법
제8조제1항	[8, 1]	PROCEDURE	주요업무집행책임자	주요업무집행책임자	임면한다	의결	MANDATORY	제8조제1항에 따라 다음 각 호의 어느 하나에 해당하는 주요업무를 집행하는 업무집행책임자(이하 “주요업무집행책임자”라 한다)는 이사회의 의결을 거쳐 임면한다. 1. 경영전략 수립 등 전략기획 업무 법제처 8 국가법령정보센터 금융회사의 지배구조에 관한 법률 시행령 2. 재무, 예산 및 결산 회계 등 재무관리 업무 3. 자산의 운용 등에 대한 위험관리 업무
제10조	[]		겸직 허용					제10조(겸직 허용) ① 법
