article_number,structural_index,entity_type,concept,subject,action,object,legal_force,full_text
제2조제7호,[],DEFINITION,집합투자증권,집합투자증권,정하고 고시하다,집합투자재산,DEFINITIONAL,"제2조제7호 다목에서 ""금융위원회가 정하여 고시하는 집합투자증권""이란 집합투자재산 중 영"
제2조제7호,"[2, None, 7, None]",DEFINITION,집합투자증권,집합투자증권,말한다,,DEFINITIONAL,"제2조제7호 가목 및 라목의 금융투자상품에 운용하는 비중과 파생상품 매매에 따른 위험평가액이 집합투자기구 자산총액에 서 차지하는 비중의 합계가 100분의 20을 초과하는 집합투자기구의 집합투자증권을 말한다. 다만, 당해 집합투 자규약 및 투자설명서에서 정한 운용방침이나 투자전략이 기초자산의 가격 또는 기초자산의 종류에 따라 다수 종목의 가격수준을 종합적으로 표시하는 지수의 변화에 연동하여 운용하는 것을 목표로 하는 집합투자기구로서 다음 각 호의 요건을 모두 충족하는 집합투자기구의 집합투자증권은 제외한다. 1. 집합투자재산을 운용함에 있어 장외파생상품 또는 파생결합증권에 투자하지 아니할 것. 다만, 가격 또는 지수 의 변화에 연동하기 위한 목적으로 법"
제390조,[],REGULATION,상장규정,거래상대방,거래,장외 파생상품,PROHIBITIVE,제390조에 따른 상장규정에서 정한 요건을 충족하는 거래상대방과 장외 파생상품을 거래하는 경우는 제외한다. 2. 당해 집합투자기구가 연동하고자 하는 기초자산의 가격 또는 지수가 영
제246조,[],REGULATION,고난도금융투자상품,집합투자기구,충족,고난도금융투자상품,MANDATORY,제246조 각 호의 요건을 모두 갖추었 을 것 3. 목표로 하는 지수의 변화에 1배 이내의 양의 배율로 연동하여 운용하는 것을 목표로 할 것 4. 집합투자기구의 집합투자증권의 1좌당 또는 1주당 순자산 가치의 변동율과 해당 집합투자기구가 목표로 하는 지수의 변동율 간의 차이가 100분의 10 이내일 것 ③ 제2항에도 불구하고 집합투자증권에 투자하는 집합투자기구의 집합투자증권인 경우에는 다음 각 호의 요건 을 모두 충족하는 경우 고난도금융투자상품에 해당한다. 1. 다음 각 호의 합계가 100분의 20을 초과하는 경우 가. 집합투자재산 중 영
제2조제7호,[],REGULATION,운용 비중,가목 및 라목,운용,비중,,제2조제7호 가목 및 라목의 금융투자상품에 운용하는 비중 법제처 3 국가법령정보센터 금융투자업규정 나. 파생상품 매매에 따른 위험평가액이 집합투자기구 자산총액에서 차지하는 비중 다. 집합투자재산 중 제2항의 집합투자증권(외국집합투자기구의 집합투자증권의 경우 해당 국가에서 고난도 금융투자상품에 준하여 지정된 것에 한한다)에 운용하는 비중 2. 집합투자재산 중 영
제2조제7호,"[None, None, 2, 7]",REGULATION,파생상품 위험평가액 산정,위험평가액,산정한다,산정기준,MANDATORY,"제2조제7호 각 목의 금융투자상품(국내외 증권시장 및 국내외 파생상품시장에 상장되어 거래되는 상품을 포함한다. 이하 이 호에서 같다)에서 발생할 수 있는 최대 원금손실 가능금액이 집합투자기구 자산총액의 100분의 20을 초과하는 경우 ④ 제2항 및 제3항의 파생상품 매매에 따른 위험평가액은 제4-54조에 따른 파생상품 위험평가액 산정기준에 따라 산정한다. 다만, 헤지목적의 거래 등 파생상품 매매가 집합투자증권의 가격결정 및 손익결정 구조에 대한 투자자의 이해 및 손실 위험에 미치는 영향이 현저히 낮은 경우로서 한국금융투자협회가 정하는 파생상품 매매는 파생상품 위험평가액 산정에서 제외한다. ⑤ 영"
제2조제8호 및 제9호,[],DEFINITION,집합투자재산 및 최대 원금손실 가능금액,,,,DEFINITIONAL,"제2조제8호 및 제9호에서 ""금융위원회가 정하여 고시하는 방법으로 산정한 최대 원금손실 가능금액""이란 제1항제2호에 따른 금액을 말한다. 이 경우, ""집합투자재산""은 각각 ""투자일임재산"" 및 ""신탁재산""으로 본다. ⑥ 영"
제2조제8호,[],DEFINITION,투자일임계약,,,,DEFINITIONAL,"제2조제8호에서 ""금융위원회가 정하여 고시하는 기준에 해당하는 투자일임계약""이란 다음 각 호의 합계가 100분의 20을 초과하는 투자일임계약을 말한다. 1. 투자일임재산 중 제3항, 영"
제2조제7호,[],REGULATION,비중,금융투자상품,운용,비중,MANDATORY,"제2조제7호 가목, 다목 및 라목의 금융투자상품에 운용하는 비중 2. 파생상품 매매에 따른 위험평가액(산정기준은 제4항을 준용한다)이 투자일임재산에서 차지하는 비중 ⑦ 영"
제2조제9호,"[0, 0, 2, 9]",DEFINITION,금전신탁계약,,정하는,기준,DEFINITIONAL,"제2조제9호에서 ""금융위원회가 정하여 고시하는 기준에 해당하는 금전신탁계약""이란 다음 각 호의 합계가 100분의 20을 초과하는 신탁계약을 말한다. 1. 신탁재산 중 제3항, 영"
제2조제7호,[],REGULATION,비중,금융투자상품,운용,비중,MANDATORY,"제2조제7호 가목, 다목, 및 라목의 금융투자상품에 운용하는 비중 2. 파생상품 매매에 따른 위험평가액(산정기준은 제4항을 준용한다)이 신탁재산에서 차지하는 비중 제1-3조(해외 파생상품거래) 영"
제5조제6호,[],DEFINITION,거래,,,,DEFINITIONAL,"제5조제6호에서 ""금융위원회가 정하여 고시하는 거래""란 다음 각 목의 어느 하나에 해당하는 거래를 말한다.<개정 2017. 5. 8.> 1. 대륙간 거래소의 규정에 따라 장외에서 이루어지는 에너지거래<신설 2017. 5. 8.> 2. 일본 금융상품거래법에 따라 장외에서 이루어지는 외국환 거래<신설 2017. 5. 8.> 3. 유럽연합의 금융상품시장지침에 따라 장외에서 이루어지는 외국환거래<신설 2018. 9. 3.> 4. 영국 금융감독청의 업무행위감독기준에 따라 장외에서 이루어지는 외국환거래<신설 2019. 3. 20.>"
제6조제2항제2호,[],,,,,,,제6조제2항제2호 및
제14조제1항제2호,"[None, None, 14, 1]",DEFINITION,금융위원회가 정하여 고 시하는 자,금융위원회,정하여 고 시하는,법인세법 시행규칙,DEFINITIONAL,"제14조제1항제2호에서 ""금융위원회가 정하여 고 시하는 자""란 각각 「법인세법 시행규칙」"
제56조의2제1항 및 제2항,[],DEFINITION,자,,말한다,자,DEFINITIONAL,제56조의2제1항 및 제2항의 자를 말한다.<개정 2009. 7. 6.> ② 영
제14조제3항,[],DEFINITION,금융위원회가 정하여 고시하는 경우,금융위원회,정하여 고시하는,경우,DEFINITIONAL,"제14조제3항에서 ""금융위원회가 정하여 고시하는 경우""란 다음 각 호를 모두 충족하는 경우를 말한다.<신 설 2021. 3. 18.> 1. 일시적으로 발생하였을 것 2. 여유자금의 효율적 운용을 위하여 필요한 경우일 것 3. 필요시 즉시 자금을 회수할 수 있을 것 법제처 4 국가법령정보센터 금융투자업규정 제1-4조의2(기업인수목적회사의 예치금액 등) ① 영"
제6조제4항제14호가목,[],DEFINITION,금융위원회가 정하여 고시하는 금 액,,말한다,금액,DEFINITIONAL,"제6조제4항제14호가목에서 ""금융위원회가 정하여 고시하는 금 액""이란 주권(최초 모집 이전에 발행된 주권은 제외한다) 발행금액의 100분의 90에 해당하는 금액을 말한다. ② 영"
제6조제4항제14호가목,"[6, 4, 14, 1]",DEFINITION,금융위원회가 정하여 고시하는 기관,금융위원회,정하는,기관,DEFINITIONAL,"제6조제4항제14호가목에서 ""금융위원회가 정하여 고시하는 기관""이란 증권금융회사 또는 신탁업자(최초 모집 이전에 발행된 주권을 취득한 자와 그 특수관계인은 제외한다)를 말한다. ③ 영"
제6조제4항제14호나목,"[6, 4, 14, None]",DEFINITION,금융위원회가 정하여 고시하는 경우,금융위원회,정하여 고시하는,고시,DEFINITIONAL,"제6조제4항제14호나목 단서에서 ""금융위원회가 정하여 고시하는 경우""란 다음 각 호의 어느 하나에 해당 하는 경우를 말한다. 1. 법"
제165조의5,[],REGULATION,주식매수청구권,주식매수청구권,인출,금전,PERMISSIVE,제165조의5에 따른 주식매수청구권의 행사로 주식을 매수하기 위하여 필요한 금전의 한도 내에서 인출하 는 경우 2. 영
제6조제4항제14호가목,[],REGULATION,예치자금등 지급,지급자,지급,예치자금등,,"제6조제4항제14호가목에 따라 예치 또는 신탁한 금전(이하 이 조에서 ""예치자금등""이라 한다)을 제5항제 2호에 따라 지급하는 경우 ④ 영"
제6조제4항제14호다목,"[None, None, 6, 4]",DEFINITION,금융위원회가 정하여 고시하는 규모,금융위원회,정하여 고시하는,규모,DEFINITIONAL,"제6조제4항제14호다목에서 ""금융위원회가 정하여 고시하는 규모""란 최근 사업연도 말을 기준으로 자기자 본(개별재무제표의 자본총계를 말한다) 1,000억원을 말한다.<개정 2010. 12. 29.> ⑤ 영"
제6조제4항제14호사목,[],DEFINITION,기준,금융위원회,정하는,기준,DEFINITIONAL,"제6조제4항제14호사목에서 ""금융위원회가 정하여 고시하는 기준""이란 다음 각 호의 기준을 말한다. 1. 주권의 최초 모집 이전에 합병의 상대방이 되는 법인이 정하여지지 아니할 것 2. 다음 각 목의 어느 하나에 해당하는 경우 정관에 따라 영"
제6조제4항제14호,[],REGULATION,기업인수목적회사 해산,기업인수목적회사,지급,주주,MANDATORY,"제6조제4항제14호 각 목 외의 부분에 따른 기업인수 목적회사(이하 ""기업인수목적회사""라 한다)가 해산되고 예치자금등을 주주에게 주권(최초 모집 이전에 발행된 주권은 제외한다)의 보유 비율에 따라 지급할 것 가. 영"
제6조제4항제14호마목,[],REGULATION,증권시장 상장,,상장,증권시장,,제6조제4항제14호마목에 따른 기한 내에 증권시장에 상장되지 않은 경우 나. 영
제6조제4항제14호바목,"[None, None, 6, 14]",PENALTY,합병등기,,완료하지 못한,합병등기,MANDATORY,제6조제4항제14호바목에 따른 기한 내에 합병등기를 완료하지 못한 경우 다. 법
제390조,[],REGULATION,상장폐지,기업인수목적회사,폐지,상장,,제390조의 증권상장규정에 따라 기업인수목적회사가 상장폐지되는 경우(기업인수목적회사가 다른 법 인과 합병하여 상장폐지된 후 그 다른 법인이 상장되는 경우는 제외한다)<개정 2021. 12. 9.> 3. 영
제6조제4항제14호다목,"[None, None, 6, 14]",ACTOR,지분증권 투자매매업자,지분증권 투자매매업자,,기업인수목적회사,MANDATORY,제6조제4항제14호다목에 따른 지분증권 투자매매업자는 기업인수목적회사가 발행한 영
제139조제1호,[],REGULATION,5% 소유,소유자,소유,증권,MANDATORY,제139조제1호 각 목의 증권(의결권 없는 주식에 관계된 증권을 포함한다)의 발행총액의 100분의 5 이상을 소유하고 있을 것 ⑥ 영
제6조제7항,"[6, 7]",DEFINITION,금융위원회가 정하여 고시하는 자,금융위원회,정하여 고시하는,자,DEFINITIONAL,"제6조제7항 각 호 외의 부분 본문 중 ""금융위원회가 정하여 고시하는 자""란 「근로자퇴직급여 보장법」에 따른 중소기업퇴직연금기금을 같은 법"
제23조의2,[],DEFINITION,운영하는 자,,,,DEFINITIONAL,제23조의2에 따라 운영하는 자를 말한다.
제7조제1항제2호,"[7, 1, 2, None]",DEFINITION,위험회피 목적의 거래,,,,DEFINITIONAL,"제7조제1항제2호에서 ""금융위원회가 정하여 고시하는 위험회피 목적의 거래""란 다음 각 호의 요건을 모두 충족하는 장외파생상품 거래를 말한다. 1. 위험회피대상인 파생결합증권과 장외파생상품의 기초자산이 동일하고 손익의 변화방향이 반대일 것 2. 위험회피대상인 파생결합증권의 액면금액과 장외파생상품의 명목원금이 동일할 것 3. 위험회피대상인 파생결합증권과 장외파생상품의 계약기간(조기상환조건이 있는 경우 그 조기상환일을 포함한 다)이 동일할 것 ② 영"
제7조제2항제1호,"[7, 2, 1, None]",DEFINITION,금융위원회가 정하여 고시하는 기준,,,,DEFINITIONAL,제7조제2항제1호에서 '금융위원회가 정하여 고시하는 기준'이란 다음 각 호의 요건을 모두 충족하는 것을 말한다. 1. 투자자가 금전등을 지급한 날에 파생결합증권이 발행될 것 2. 파생결합증권의 계약기간(계약기간을 따로 정하지 아니한 경우에는 무기한으로 본다. 이하 제3호에서 같다) 동안 매 영업일마다 청약 및 발행이 가능할 것 3. 파생결합증권의 계약기간 동안 매 영업일마다 투자자가 그 파생결합증권을 매도하여 금전 또는 실물로 회수 할 수 있을 것 4. 발행인이 파생결합증권의 발행을 통하여 조달한 자금의 일부를 투자자에게 지급할 실물의 매입을 위하여 사 용할 것
제7조제2항제2호,"[None, None, 7, 2]",DEFINITION,파생결합증권,,,,DEFINITIONAL,"제7조제2항제2호에서 ""금융위원회가 투자에 따른 위험과 손익의 구조 등을 고려하여 고시하는 파생결합증권""이란 금융투자업자가 발행한 파생결합증권(기초자산이 금 또는 은인 파생결합증권에 한한다)으로서 제2항 각 호의 요건을 모두 충족하는 파생결합증권을 말한다.<개정 2014. 7. 8.>"
제7조제4항제3호다목,"[7, 4, 3, 0]",DEFINITION,금융위원회가 정하여 고시하는 자,,,,DEFINITIONAL,"제7조제4항제3호다목에서 ""금융위원회가 정하여 고시하는 자""란 다음 각 호 의 어느 하나에 해당하는 자를 말한다.<개정 2013. 9. 17.> 1. 「농업협동조합법」에 따른 농업협동조합 2. 「수산업협동조합법」에 따른 수산업협동조합 3. 「신용협동조합법」에 따른 신용협동조합 4. 「새마을금고법」에 따른 새마을금고 5. 「우체국 예금ㆍ보험에 관한 법률」에 따른 체신관서 6. 「중소기업창업지원법」에 따른 창업투자회사 7. 투자일임계약을 체결한 일반투자자(그 일반투자자로부터 투자일임을 받은 투자일임업자가 투자중개업자를 통 하여 영"
제7조제4항제3호,[],REGULATION,조건부매수,자,운영,투자일임재산,MANDATORY,"제7조제4항제3호 각 목의 어느 하나에 해당하는 자와 투자일임재산을 조건부매수로 운영하는 경우에 한한다)<신설 2017. 5. 10., 개정 2020. 3. 30.> 8. 제1호부터 제6호까지에 준하는 외국인<개정 2017. 5. 10.> ② 영"
제7조제4항제5호,[],REGULATION,인정신청서,외국 투자매매업자,제출,금융감독원장,MANDATORY,"제7조제4항제5호 각 목에 따라 외국 투자매매업자가 내국인과 국내에서 인수계약을 체결하거나 내국인과 인수계약의 내용을 확정하기 위한 협의만을 국내에서 하고자 하는 경우에는 그 행위를 하고자 하는 날의 7일 전 까지 다음 각 호의 사항이 기재된 인정신청서 또는 관련 자료를 금융감독원장에게 각각 제출하여야 한다. 다만, 외국 투자매매업자가 국채증권 또는 정부가 원리금의 지급을 보증한 채무증권을 대상으로 같은 호 각 목의 행위 를 하는 경우에는 같은 호 가목에 따른 인정을 받거나 같은 호 나목에 따른 관련 자료를 제출한 것으로 보며, 이 경우 같은 호 가목에 대해서는 제4항의 요건을 적용하지 아니한다.<개정 2013. 9. 17.> 1. 상호 2. 본점 또는 주된 사무소의 소재지 3. 자본금 또는 출자금 4. 대표자에 관한 사항 5. 해당 인수계약을 체결하거나 협의를 하려는 자의 성명, 국내 주소 또는 거소, 그 밖의 연락 장소에 관한 사항 법제처 6 국가법령정보센터 금융투자업규정 6. 해당 인수계약 또는 협의와 관련된 증권에 대한 다음 각 목의 사항 가. 발행인 또는 소유자 나. 종류 다. 수량 및 금액 라. 모집ㆍ사모ㆍ매출의 장소 및 날짜 마. 법"
제85조제3호,"[None, None, 85, None]",PROCEDURE,인수업무,법인,첨부,서류,MANDATORY,"제85조제3호에 따른 인수업무(이하 이 조에서 ""인수업무""라 한다)를 담당할 법인 ③ 제2항의 인정신청서 및 관련 자료에는 다음 각 호의 서류를 첨부하여야 한다. 1. 업무내용을 기재한 서류(그 서류가 1년 이내에 신고 또는 신청된 서류와 같은 내용인 경우 그 부분을 적시하여 이를 참조하라는 뜻을 기재한 서류) 2. 최근 1년간 외국에서 한 증권 인수업무의 개요를 기재한 서류 ④ 영"
제7조제4항제5호가목,"[None, None, 7, 5]",REGULATION,인정 기준,인정 신청자,인정받다,인정,MANDATORY,제7조제4항제5호가목에 따른 인정을 받고자 하는 경우 그 기준은 다음 각 호와 같다.<개정 2013. 9. 17.> 1. 인정을 받고자 하는 업무와 동종의 업무를 외국에서 3년 이상 계속해서 영위하고 있을 것 2. 인정신청일 현재 원화로 환산한 자기자본이 500억원 이상일 것 ⑤ 제2항에 따른 인정신청서 및 관련 자료의 서식 및 작성방법 등에 관하여 필요한 사항은 금융감독원장이 정한 다. ⑥ 영
제7조제4항제5호의2나목,"[7, 4, 5, 2]",DEFINITION,금융위원회가 정하여 고시하는 기준,,,,DEFINITIONAL,"제7조제4항제5호의2나목에서 ""금융위원회가 정하여 고시하는 기준""이란 다음 각 호의 요건을 모두 충족하는 것을 말한다. 다만, 제3호ㆍ제4호의 경우 그 위반 등의 정도가 경미하다고 인정되는 경우는 제외한다.<신설 2012. 11. 21., 개정 2013. 9. 17.> 1. 자산총액, 영업규모 등이 국제적 영업활동에 적합하고 국제적 신인도가 높을 것 2. 최근 3년간 계속하여 국제결제은행의 기준에 따른 위험가중자산에 대한 자기자본비율이 100분의 8 이상이거나 다음 각 목의 요건을 모두 충족할 것 가. 당해 외국의 금융감독기관이 정하는 재무건전성에 관한 기준을 충족할 것 나. 국제적으로 인정받는 신용평가기관에 의한 신용평가등급이 투자적격 이상일 것 3. 최근 3년간 법, 영, 금융관련법령(영"
제16조제8항제2호가목,"[None, None, 16, 8]",DEFINITION,금융관련법령,금융관련법령,말한다,,DEFINITIONAL,"제16조제8항제2호가목에 따른 금융관련법령을 말한다. 이하 이 항에서 같 다), 「독점규제 및 공정거래에 관한 법률」 및 「조세범 처벌법」(이에 상당하는 외국 관련법령을 포함한다)을 위 반하여 벌금형 이상에 상당하는 형사처벌을 받은 사실이 없을 것. 다만, 법"
제448조,[],REGULATION,양벌 규정,사건,제외한다,,MANDATORY,"제448조, 그 밖에 해당 법률의 양벌 규정에 따라 처벌을 받은 경우는 제외한다.<개정 2016. 7. 28.> 4. 법, 금융관련법령이나 외국 금융관련법령(영"
제16조제8항제2호라목,[],REGULATION,폐쇄·정지 후 기간,지점,폐쇄·정지,업무,MANDATORY,"제16조제8항제2호라목에 따른 외국 금융관련법령에 따른 외국 금융관련 법령을 말한다)에 따라 금융위원회, 외국 금융투자감독기관 등으로부터 지점, 그 밖의 영업소의 폐쇄 또는 그 업무의 전부나 일부의 정지 이상의 조치(이에 상당하는 행정처분을 포함한다)를 받은 후 다음 각 목에 따른 기간이 지났을 것<개정 2013. 9. 17., 2016. 7. 28.> 가. 업무의 전부정지: 업무정지가 끝난 날부터 3년 나. 업무의 일부정지: 업무정지가 끝난 날부터 2년 다. 지점, 그 밖의 영업소의 폐쇄 또는 그 업무의 전부나 일부의 정지: 해당 조치를 받은 날부터 1년 법제처 7 국가법령정보센터 금융투자업규정 제1-6조(적용범위) 영"
제24조제9호,[],DEFINITION,금융기관 등,금융위원회,정,금융기관 등,DEFINITIONAL,"제24조제9호에서 ""금융위원회가 정하여 고시하는 금융기관 등""이란 다음 각 호의 어느 하나 에 해당하는 금융기관을 말한다. 1. 「상호저축은행법」에 따른 상호저축은행 2. 「여신전문금융업법」에 따른 여신전문금융회사 3. 제2-1조제1항제1호부터 제5호까지의 금융기관 [제2-17조에서 이동 <2016. 7. 28.>] 제1-7조(다자간매매체결회사의 매매체결대상상품 제외) 영"
제7조의3제1항제3호,"[0, 0, 7, 3]",DEFINITION,파생결합증권,금융위원회,정하여 고시하는,주식워런트증권,DEFINITIONAL,제7조의3제1항제3호에서 '금융위원회가 정하여 고시하는 파생결합증권'이란 제6-1조제11호의 주식워런트증권을 말한다.
제10조제3항제17호가목,"[None, None, 10, 3]",DEFINITION,금융투자업자,금융위원회,정하여 고시하는,금융투자업자,DEFINITIONAL,"제10조제3항제17호가목에서 ""금융위원회가 정하여 고시하는 금융투자업자 ""란 법"
제31조제3항,[],REGULATION,단서에 따른 금융투자업자,금융투자업자,,,,제31조제3항 단서에 따른 금융투자업자 중 영
제35조제2항제2호,"[None, None, 35, 2]",DEFINITION,자,자,충족하는,각 목의 기준,DEFINITIONAL,제35조제2항제2호 각 목의 기준을 모두 충족하는 자를 말 한다.
제10조,[],DEFINITION,금융투자상품,금융위원회,정하는,금융투자상품,DEFINITIONAL,"제10조제3항제17호나목에서 ""금융위원회가 정하여 고시하는 금융투자상품""이란 다음 각 호의 금융투자상 품을 말한다.<개정 2019. 11. 21.> 1. 법"
제4조제3항,[],DEFINITION,사채권 및 기업어음증권,,,,DEFINITIONAL,제4조제3항에 따른 사채권(A등급 이하) 및 기업어음증권(A2등급 이하) 2. 법
제4조제4항,[],DEFINITION,지분증권,,,,DEFINITIONAL,제4조제4항에 따른 지분증권 3. 법
제4조제7항,[],CONCEPT,파생결합증권,,,,,제4조제7항에 따른 파생결합증권 4. 법
제9조제21항,"[None, None, 9, 21]",DEFINITION,집합투자증권,,,,DEFINITIONAL,"제9조제21항에 따른 집합투자증권(단, 법"
제9조제19항,[],,집합투자증권,사모집합투자기구,,집합투자증권,,제9조제19항에 따른 사모집합투자기구의 집합투자증권 및
제 229조제1호,"[None, None, 229, 1]",REGULATION,증권집합투자기구의 집합투자증권,증권집합투자기구,한한다,집합투자증권,PROHIBITIVE,제 229조제1호의 증권집합투자기구의 집합투자증권에 한한다.) ③ 영
제10조제3항제17호다목,[],DEFINITION,소득액,금융위원회,정하는,소득액,DEFINITIONAL,"제10조제3항제17호다목에서 ""금융위원회가 정하여 고시하는 소득액""이란 같은 호 가목에 따른 관련 자료 를 제출한 날을 기준으로 본인의 직전년도 소득액이 1억원 이상이거나 본인과 그 배우자의 직전년도 소득액의 합계금액이 1억5천만원 이상일 것을 말한다.<신설 2019. 11. 21.> ④ 영"
제10조제3항제17호다목,[],DEFINITION,자산 기준,금융위원회,정하는,자산 기준,DEFINITIONAL,"제10조제3항제17호다목에서 ""금융위원회가 정하여 고시하는 자산 기준""이란 같은 호 가목에 따른 관련 자 료를 제출한 날 전날을 기준으로 본인과 그 배우자의 총자산가액 중 다음 각 호의 금액을 차감한 가액이 5억원 이상일 것을 말한다.<신설 2019. 11. 21.> 1. 본인 또는 그 배우자가 소유하는 부동산에 거주중인 경우 해당 부동산의 가액 2. 본인 또는 그 배우자가 임차한 부동산에 거주중인 경우 임대차계약서상의 보증금 및 전세금 3. 본인과 그 배우자의 총부채 중 거주중인 부동산으로 담보되는 금액을 제외한 금액 ⑤ 영"
제10조제3항제17호다목,"[10, 3, 17, None]",DEFINITION,자,자,총족,금융 관련 전문성 요건,DEFINITIONAL,"제10조제3항제17호다목에서 ""금융위원회가 정하여 고시하는 금융 관련 전문성 요건""을 총족하는 자는 다 음 각 호의 어느 하나에 해당하는 자(해당 분야에서 1년 이상 종사)를 말한다.<신설 2019. 11. 21.> 1. 공인회계사ㆍ감정평가사ㆍ변호사ㆍ변리사ㆍ세무사 2. 법"
제286조,[],DEFINITION,시험에 합격한 자,,검증,투자운용인력의 능력,DEFINITIONAL,"제286조제1항제3호다목에 따라 한국금융투자협회(이하 ""협회""라 한다)에서 시행하는 투자운용인력의 능력 을 검증할 수 있는 시험에 합격한 자 법제처 8 국가법령정보센터 금융투자업규정 3. 영"
제285조제3항제1호,"[285, 3, 1]",REGULATION,시험에 합격한 자,시험에 합격한 자,합격한,시험,MANDATORY,제285조제3항제1호에 따른 시험에 합격한 자 4. 별표 2제1호사목에서 규정한 협회가 시행하는 재무위험관리사 시험에 합격한 자(이에 준하는 국제 자격증 소 지자를 포함한다) 5. 법
제286조제1항제3호,[],REGULATION,주요직무 종사자,자,갖춘,등록요건,MANDATORY,제286조제1항제3호 각 목의 어느 하나에 해당하는 주요직무 종사자의 등록요건을 갖춘 자 중 협회가 정하 는 자 제1-8조(전문투자자의 관련 자료제출) ① 영
제10조제3항제16호가목,[],REGULATION,자료 제출,자,제출,협회,MANDATORY,제10조제3항제16호가목에 따라 관련 자료를 협회에 제출하고자 하는 자 또는 영
제10조제3항제17호가목,[],REGULATION,제출,제출인,제출,서류,MANDATORY,"제10조제3항제17호가목에 따라 관련 자료를 금융투자업자에게 제출하고자 하는 자(이하 이 조에서 ""제출인""이라 한다)는 다음 각 호의 사항을 기재한 서류를 협회 또는 금융투자업자에게 제출하여야 한다."
